,Tag,Name,TH,BH,Level,League,"League (builder base)",Trophies,"Trophies (builder base)",Role,"Capital Level","Total Contribution","Troops donated","Troops received"
1,#QLJ20JYUR,0_Macias_0,17,10,166,"Titan League 25","Brass League I",0,2551,Member,75,1337804,0,0
2,#9LP88QYL2,Bartek,14,9,169,"Valkyrie League 14","Iron League III",0,2603,Member,55,580167,0,0
3,#ULV0LJ9C,ptaqdar,17,10,257,Unranked,"Titanium League III",0,3964,Member,98,2983318,787,522
4,#LC2QGV0LY,zz,8,3,33,Unranked,"Wood League V",0,79,Leader,1,1200,0,0
5,#GJ20LVR,Shadow,17,10,259,Unranked,"Steel League I",0,3768,Member,99,3074607,523,878
6,#GYQRCULPJ,altkongo,16,5,113,Unranked,"Stone League I",0,1452,Co-leader,69,1040308,0,0
