"Date end",Size,"Clan tag","Clan name","Clan stars","Clan destruction","Opponent tag","Opponent name","Opponent stars","Opponent destruction",Result
"2025-08-31 18:43:44",25,#P0J2J8GJ,"coc masters PL",65,95.6,#2Q88VU08R,"Nordic Micro ☤",75,100,lose
"2025-08-29 17:56:11",25,#P0J2J8GJ,"coc masters PL",72,99.04,#29GLU8CV2,"GRİ CRAZY WOLF",54,84.2,win
"2025-08-27 18:36:51",25,#P0J2J8GJ,"coc masters PL",75,100,#LL8RJP2Y,"GAME OVER",57,85.4,win
"2025-08-24 18:09:29",20,#P0J2J8GJ,"coc masters PL",60,100,#22UJGQ0Y8,"Zeytin Dalı 32",37,68.4,win
"2025-08-22 18:41:29",20,#P0J2J8GJ,"coc masters PL",60,100,#2G8PCCQ82,Villa5,33,64.05,win
"2025-08-20 19:22:26",25,#P0J2J8GJ,"coc masters PL",68,96.4,#2QRJ02JYJ,VIKINGS,70,98.52,lose
"2025-08-18 19:55:38",30,#P0J2J8GJ,"coc masters PL",89,99.933334,#2YVPC20UY,"LOST 6",90,100,lose
"2025-08-16 19:19:34",25,#P0J2J8GJ,"coc masters PL",74,99.96,#QUQLGRJG,(بیدک),70,98.8,win
"2025-08-14 19:59:47",30,#P0J2J8GJ,"coc masters PL",87,99.4,#JJ92Y98Y,SwissPower,90,100,lose
"2025-08-12 18:47:17",20,#P0J2J8GJ,"coc masters PL",56,99.15,#JYCYUC22,"Clash Elite",47,86.3,win
"2025-08-01 19:17:36",25,#P0J2J8GJ,"coc masters PL",71,99.48,#28PP0LU8J,القاهرون,66,96,win
"2025-07-30 16:45:56",20,#P0J2J8GJ,"coc masters PL",60,100,#2LCVR0L2,PRO,54,95.65,win
"2025-07-28 11:17:24",15,#P0J2J8GJ,"coc masters PL",44,99.87,#29GQV809Y,"Champion War_VN",45,100,lose
"2025-07-25 19:21:54",15,#P0J2J8GJ,"coc masters PL",44,99.87,#2QYUCYPJL,"British Lions",33,84.2,win
"2025-07-23 07:47:02",20,#P0J2J8GJ,"coc masters PL",59,99.75,#PG9RL8P8,"pars castel",60,100,lose
"2025-07-21 08:03:39",20,#P0J2J8GJ,"coc masters PL",57,98.75,#28CR8V2G9,"I LOVE COC",54,97.3,win
"2025-07-19 07:42:38",20,#P0J2J8GJ,"coc masters PL",60,100,#2Q2V2VVV9,"اصاطير الحروب",46,82.25,win
"2025-07-17 08:23:41",20,#P0J2J8GJ,"coc masters PL",60,100,#290LYR9P2,"Game of Thrones",44,81.55,win
"2025-07-15 09:08:37",20,#P0J2J8GJ,"coc masters PL",57,98.95,#YYVQQYC,"THAI ! 1ATTACK",60,100,lose
"2025-07-13 07:13:45",20,#P0J2J8GJ,"coc masters PL",60,100,#CRGVQ80U,"người Tràng An",55,98.2,win
"2025-07-01 20:50:26",20,#P0J2J8GJ,"coc masters PL",56,98.65,#8RQP0PGU,"ASSASINS BEACH",59,99.95,lose
"2025-06-29 20:22:02",20,#P0J2J8GJ,"coc masters PL",58,99.2,#R82LYP9R,"YZA & BR FAMILY",49,89.5,win
"2025-06-27 19:12:09",20,#P0J2J8GJ,"coc masters PL",60,100,#L2GP90Q,"Clan Panneton",47,88.45,win
"2025-06-25 20:00:54",20,#P0J2J8GJ,"coc masters PL",60,100,#2PY9LYQ02,German_ISF@SWC,47,83.85,win
"2025-06-23 20:30:35",20,#P0J2J8GJ,"coc masters PL",54,95.75,#9VGVPCQ8,"شباب الرمثا",52,95.95,win
"2025-06-21 19:18:20",25,#P0J2J8GJ,"coc masters PL",67,96.2,#9QGJC0YV,TheDemoralizers,75,100,lose
"2025-06-19 19:51:21",20,#P0J2J8GJ,"coc masters PL",60,100,#2YY0Q2LVY,"DOSTLAR MECLİSİ",50,93.25,win
"2025-06-17 20:06:36",20,#P0J2J8GJ,"coc masters PL",60,100,#YPL8CG9J,LOOTBAZZZ,50,91.5,win
"2025-06-15 19:12:24",20,#P0J2J8GJ,"coc masters PL",60,100,#8GQVJ8GC,#WARLORD#,47,89.65,win
