"Date end",Size,"Clan tag","Clan name","Clan stars","Clan destruction","Opponent tag","Opponent name","Opponent stars","Opponent destruction",Result
"2025-07-13 19:22:17",15,#JPRPRVUY,"Akademia CoC PL",44,99.46667,#9P9QGGVR,"Nepali War",44,99.2,win
"2025-07-01 18:54:33",15,#JPRPRVUY,"Akademia CoC PL",40,93,#28LC0LQQ2,"Sinner N Saints",35,86.13333,win
"2025-06-28 20:11:23",10,#JPRPRVUY,"Akademia CoC PL",27,92.7,#8G9CY2R0,CW-Clasher,29,99.9,lose
"2025-06-26 19:40:00",15,#JPRPRVUY,"Akademia CoC PL",39,97.13333,#U29LGYYQ,"meilleurs potes",37,85.13333,win
"2025-06-24 19:26:56",10,#JPRPRVUY,"Akademia CoC PL",28,98.3,#2PQRP29YP,"БЕСЕДКА ЛВК",29,99.7,lose
"2025-06-22 19:49:45",15,#JPRPRVUY,"Akademia CoC PL",39,94.86667,#2YRR8J0YQ,Txagüen,35,84.2,win
"2025-06-20 19:03:49",15,#JPRPRVUY,"Akademia CoC PL",45,100,#2LCPGQUPV,Gabagool,23,66.67,win
"2025-06-17 20:32:06",15,#JPRPRVUY,"Akademia CoC PL",41,94.27,#2P0GV0C08,"⚡HB Clan⚡",41,95,lose
"2025-06-13 19:12:30",15,#JPRPRVUY,"Akademia CoC PL",44,99.6,#2QGJJ2YUV,"the killers",35,82.33,win
"2025-06-02 19:43:48",20,#JPRPRVUY,"Akademia CoC PL",52,95,#2YYLJPVVY,"Soul of BD √",59,99.75,lose
"2025-05-31 19:11:07",15,#JPRPRVUY,"Akademia CoC PL",40,93.53,#2G888GGVJ,"harpie's song",39,89.4,win
"2025-05-28 20:09:40",15,#JPRPRVUY,"Akademia CoC PL",42,97.27,#PQP8C9VR,iran,34,83.07,win
"2025-05-26 20:26:41",15,#JPRPRVUY,"Akademia CoC PL",40,97.07,#2Y8QPC02,"Cool Lowlanders",43,97.8,lose
"2025-05-18 19:18:59",15,#JPRPRVUY,"Akademia CoC PL",35,88.87,#2LRUPY0VG,"BD WAR 1971",42,98.4,lose
"2025-05-16 19:57:41",15,#JPRPRVUY,"Akademia CoC PL",43,99.6,#2YQCR2LY8,"CHILL & ENJOY",24,66.13,win
"2025-05-14 20:23:47",15,#JPRPRVUY,"Akademia CoC PL",40,94.73,#2Q2U88RYR,Timefail,42,98.07,lose
"2025-05-12 20:24:02",15,#JPRPRVUY,"Akademia CoC PL",41,95.2,#PLLQ0V29,kaşarlar,45,100,lose
"2025-04-25 19:39:15",10,#JPRPRVUY,"Akademia CoC PL",28,94.1,#RQLPLYLV,"KING OF KING",19,74.9,win
"2025-04-23 18:41:52",15,#JPRPRVUY,"Akademia CoC PL",40,95.67,#2P98GUPRR,"Freude am Spiel",42,94.27,lose
"2025-04-21 19:25:52",15,#JPRPRVUY,"Akademia CoC PL",38,91.4,#2L0GRJUQL,"White Phoenix",42,96.33,lose
"2025-04-19 19:59:02",10,#JPRPRVUY,"Akademia CoC PL",27,91.3,#2L9RGC2LP,"МСТИТЕЛИ 2.0",27,96.5,lose
"2025-04-17 20:04:43",15,#JPRPRVUY,"Akademia CoC PL",36,86.07,#29UPCVJQC,Benchwarmers,43,96.8,lose
"2025-04-01 22:17:51",20,#JPRPRVUY,"Akademia CoC PL",53,96.45,#2PUPU0LL9,dragons,55,96.5,lose
"2025-03-30 21:48:46",15,#JPRPRVUY,"Akademia CoC PL",37,90,#J9VJ088,916Scorpions,38,85.4,lose
"2025-03-26 21:06:01",20,#JPRPRVUY,"Akademia CoC PL",55,95.3,#9PC0PP8P,КакАнька,56,96.25,lose
"2025-03-24 21:50:54",15,#JPRPRVUY,"Akademia CoC PL",40,92.13,#2L0LV9LR9,IMMORTALTURKS,11,32.8,win
"2025-03-21 20:43:24",15,#JPRPRVUY,"Akademia CoC PL",41,95.33,#2YVCUUYUC,"dragon angel",42,96.73,lose
"2025-03-18 21:24:51",15,#JPRPRVUY,"Akademia CoC PL",36,86.2,#8RCJUVL,"Clash Club™",40,93.67,lose
"2025-03-16 21:45:29",15,#JPRPRVUY,"Akademia CoC PL",38,87,#208YLJRUY,"BEST FRIENDS***",42,94.2,lose
"2025-03-14 20:32:14",15,#JPRPRVUY,"Akademia CoC PL",35,82.8,#92Y0VL9,X-WÖLFE,39,92.07,lose
"2025-02-24 20:23:48",15,#JPRPRVUY,"Akademia CoC PL",42,95.73,#RGUU0YC2,"Veera thamizhan",42,95.33,win
"2025-02-20 19:46:21",15,#JPRPRVUY,"Akademia CoC PL",42,95.67,#2LJUGR8UY,"Dirty Gemmers",39,92.67,win
"2025-02-18 20:06:58",15,#JPRPRVUY,"Akademia CoC PL",40,95.27,#YGRP2Y0R,"صقور الحرب",41,91.87,lose
"2025-02-14 21:26:25",20,#JPRPRVUY,"Akademia CoC PL",51,92.3,#2G92UQ9RY,"Hotel Lambert",54,96.5,lose
"2025-02-12 21:25:19",20,#JPRPRVUY,"Akademia CoC PL",51,92.95,#2Q0GPUPV2,"FURIA HISPANA ✌",56,97.95,lose
"2025-01-30 20:59:00",15,#JPRPRVUY,"Akademia CoC PL",42,93.13,#PVGCPVPC,Homewreckers,34,88.07,win
"2025-01-25 21:25:48",15,#JPRPRVUY,"Akademia CoC PL",41,95.4,#2JUPGCL8,RoZ,31,80.33,win
"2025-01-23 21:10:45",15,#JPRPRVUY,"Akademia CoC PL",42,98.13,#2LRLUGJU2,OkSchade,40,94.2,win
"2025-01-18 21:19:34",15,#JPRPRVUY,"Akademia CoC PL",35,86.33,#QUVGPY82,"EARTH OF PEACE",42,97.8,lose
"2025-01-13 22:37:11",20,#JPRPRVUY,"Akademia CoC PL",54,96.5,#28LUV829Y,"ایران کلش",58,98.75,lose
"2025-01-11 21:53:42",20,#JPRPRVUY,"Akademia CoC PL",52,94.45,#LJ0PYPUP,"wizard power",60,100,lose
"2025-01-01 20:53:20",25,#JPRPRVUY,"Akademia CoC PL",73,98.56,#VLR0L9C9,Machanz,57,88.48,win
"2024-12-30 20:48:45",20,#JPRPRVUY,"Akademia CoC PL",54,93.15,#LGC2990R,"عيون المها",56,96.55,lose
"2024-12-25 23:17:28",25,#JPRPRVUY,"Akademia CoC PL",59,88.48,#2GJP2L8P9,"CoC xQcFrx",73,99.48,lose
"2024-12-21 02:03:42",30,#JPRPRVUY,"Akademia CoC PL",84,96.53,#2Q0VQLVVR,"NOTZ! GO FOR IT",83,94.1,win
"2024-12-18 20:48:59",30,#JPRPRVUY,"Akademia CoC PL",90,100,#8VGYJGL2,Balta,48,59.83,win
"2024-12-13 04:41:39",30,#JPRPRVUY,"Akademia CoC PL",81,95.2,#U8YCYUUQ,"LOS AMIGOS",65,81.73,win
"2024-12-01 20:06:47",30,#JPRPRVUY,"Akademia CoC PL",80,93.27,#LC0VPC92,"مملكة التنانين✌",87,98.37,lose
"2024-11-28 22:30:24",25,#JPRPRVUY,"Akademia CoC PL",67,93.56,#2PYCYUJCU,"Team Z XP ;-)",75,100,lose
"2024-11-26 21:59:31",20,#JPRPRVUY,"Akademia CoC PL",60,100,#2QCC8YGLG,iranian,55,93.8,win
"2024-11-24 20:18:54",20,#JPRPRVUY,"Akademia CoC PL",57,97.95,#U2PYUQ2J,落絮随风,57,97.9,win
"2024-11-22 21:05:17",20,#JPRPRVUY,"Akademia CoC PL",56,96,#2QLL8LRUG,pars,53,94.4,win
"2024-11-14 20:22:28",20,#JPRPRVUY,"Akademia CoC PL",56,95.4,#28UP98VY2,"Blades of Rage",49,88.6,win
