Tag,Name,"Date last war","Average TH","Attack: count","Attack: Average TH of targets","Attack: Average Stars","Attack: 3 Stars Count","Attack: % of 3 Stars","Attack: 2 Stars Count","Attack: % of 2 Stars","Attack: 1 Star Count","Attack: % of 1 Star","Attack: 0 Star Count","Attack: % of 0 Star","Attack: Miss attacks","Attack: % of Miss attacks","Defense: count","Defense: Average TH","Defense: Average Stars","Defense: 3 Stars Count","Defense: % of 3 Stars","Defense: 2 Stars Count","Defense: % of 2 Stars","Defense: 1 Star Count","Defense: % of 1 Star","Defense: 0 Star Count","Defense: % of 0 Star"
#YJ9UCL8P,PeteR6,2026-02-11,18.00,18,17.94,2.22,7,38.89,8,44.44,3,16.67,0,0.00,2,10.00,12,18.00,2.42,7,58.33,3,25.00,2,16.67,0,0.00
#8222UYQU,Mike,2026-01-31,18.00,18,17.94,2.22,7,38.89,8,44.44,3,16.67,0,0.00,0,0.00,16,17.94,2.19,7,43.75,5,31.25,4,25.00,0,0.00
#22L2VVJQQ,Gantz,2026-01-31,18.00,16,18.00,2.31,6,37.50,9,56.25,1,6.25,0,0.00,2,11.11,30,17.83,2.13,12,40.00,10,33.33,8,26.67,0,0.00
#8UV0C2QYL,Predator,2026-01-27,18.00,8,16.50,2.13,3,37.50,3,37.50,2,25.00,0,0.00,0,0.00,6,18.00,2.67,4,66.67,2,33.33,0,0.00,0,0.00
#L90QVUQJ,Mamcorz,2026-02-11,18.00,22,18.00,2.18,8,36.36,10,45.45,4,18.18,0,0.00,0,0.00,23,17.57,2.04,8,34.78,9,39.13,5,21.74,1,4.35
#8PVPQGLU9,Lemoniadek,2026-02-11,17.00,6,17.83,2.17,2,33.33,3,50.00,1,16.67,0,0.00,2,25.00,6,17.33,2.50,3,50.00,3,50.00,0,0.00,0,0.00
#2Q2CLJU90,Piotrek,2026-02-11,17.70,17,17.76,2.18,5,29.41,10,58.82,2,11.76,0,0.00,3,15.00,16,17.88,2.44,8,50.00,7,43.75,1,6.25,0,0.00
#2G8RC2JY,Mario,2026-02-11,18.00,25,18.00,2.00,6,24.00,13,52.00,6,24.00,0,0.00,0,0.00,17,18.00,2.65,12,70.59,4,23.53,1,5.88,0,0.00
#P20UPJULV,mrUK,2026-01-31,18.00,14,17.86,2.14,3,21.43,10,71.43,1,7.14,0,0.00,2,12.50,13,18.00,2.54,8,61.54,4,30.77,1,7.69,0,0.00
#P9UGCVQ9V,maatii2901,2026-01-31,17.75,15,17.33,2.00,3,20.00,9,60.00,3,20.00,0,0.00,1,6.25,8,17.75,3.00,8,100.00,0,0.00,0,0.00,0,0.00
#9CQ2PPYY2,Dom,2026-02-11,18.00,16,17.75,2.13,3,18.75,12,75.00,1,6.25,0,0.00,2,11.11,12,17.92,2.58,8,66.67,3,25.00,1,8.33,0,0.00
#LLCP9VVJV,Borsuk,2026-01-31,18.00,16,18.00,2.06,3,18.75,11,68.75,2,12.50,0,0.00,2,11.11,15,18.00,2.40,8,53.33,5,33.33,2,13.33,0,0.00
#98GYP8CCV,retorax,2026-01-31,18.00,18,17.78,2.06,2,11.11,15,83.33,1,5.56,0,0.00,0,0.00,13,17.92,2.69,9,69.23,4,30.77,0,0.00,0,0.00
#9RQYYJR00,ViTanic❤️BOSS,2026-02-11,17.20,20,17.90,1.50,2,10.00,6,30.00,12,60.00,0,0.00,0,0.00,15,16.07,2.33,9,60.00,3,20.00,2,13.33,1,6.67
#RGR9RY2,Dominik,2026-02-11,18.00,4,17.75,1.75,0,0.00,3,75.00,1,25.00,0,0.00,0,0.00,6,18.00,1.50,0,0.00,3,50.00,3,50.00,0,0.00
#UQCRLPV8,nyxon,2026-01-31,17.00,1,17.00,2.00,0,0.00,1,100.00,0,0.00,0,0.00,1,50.00,1,17.00,3.00,1,100.00,0,0.00,0,0.00,0,0.00
